pt_graph abundance
11098 0.00046083
11098 0.00046083
11098 0.00014043
11098 0
11099 0.00137931
11099 0.00137931
11099 0.00014043
11099 0
11100 0.00137931
11100 0.00137931
11100 0.00028584
11100 0.00087719
11101 0.00046083
11101 0.00046083
11101 0.00028584
11101 0.00087719
11102 0.00046083
11102 0.00046083
11102 0.00075139
11102 0.00087719
11103 0.00046083
11103 0.00046083
11103 0.00075139
11103 0.0030303
11104 0.00046083
11104 0.00046083
11104 0.0041625
11104 0.00545455
11105 0.00046083
11105 0.00046083
11105 0.0041625
11105 0.00545455
11106 0
11106 0
11106 0.0041625
11106 0.00545455
11107 0
11107 0
11107 0.0041625
11107 0.00545455
11108 0
11108 0
11108 0.0041625
11108 0.00545455
11109 0
11109 0
11109 0.0041625
11109 0.00545455
11110 0
11110 0
11110 0.0041625
11110 0.00545455
11111 0
11111 0
11111 0.0041625
11111 0.00545455
11112 0
11112 0
11112 0.0041625
11112 0.00545455
11113 0
11113 0
11113 0.0041625
11113 0.0030303
11114 0
11114 0
11114 0.0041625
11114 0.0030303
11115 0
11115 0
11115 0.0041625
11115 0.0030303
11116 0
11116 0
11116 0.00075139
11116 0.00087719
11117 0
11117 0
11117 0.00075139
11117 0.00087719
11118 0
11118 0
11118 0.00028584
11118 0
11119 0
11119 0
11119 0.00028584
11119 0
11120 0
11120 0
11120 0.00028584
11120 0
11121 0
11121 0
11121 0.00028584
11121 0
11122 0
11122 0
11122 0.00014043
11122 0
11123 0
11123 0
11123 0.00014043
11123 0
11124 0
11124 0
11124 0.00014043
11124 0
11125 0
11125 0
11125 0.00001311
11125 0
11126 0
11126 0
11126 0.00001311
11126 0
11127 0
11127 0
11127 0.00001311
11127 0
11222 0.00046083
11222 0.00046083
11222 0.00001311
11222 0
11223 0.00137931
11223 0.00137931
11223 0.00001311
11223 0
11224 0.00137931
11224 0.00137931
11224 0.00014043
11224 0
11225 0.00137931
11225 0.00137931
11225 0.00014043
11225 0
11226 0.00137931
11226 0.00137931
11226 0.00028584
11226 0.00087719
11227 0.00137931
11227 0.00137931
11227 0.00028584
11227 0.00087719
11228 0.00046083
11228 0.00046083
11228 0.00028584
11228 0.00087719
11229 0.00046083
11229 0.00046083
11229 0.00075139
11229 0.0030303
11230 0.00046083
11230 0.00046083
11230 0.00075139
11230 0.0030303
11231 0.00046083
11231 0.00046083
11231 0.0041625
11231 0.0030303
11232 0
11232 0
11232 0.0041625
11232 0.0030303
11233 0
11233 0
11233 0.0041625
11233 0.0030303
11234 0
11234 0
11234 0.0041625
11234 0.0030303
11235 0
11235 0
11235 0.0041625
11235 0.0030303
11236 0
11236 0
11236 0.0041625
11236 0.0030303
11237 0
11237 0
11237 0.0041625
11237 0.0030303
11238 0
11238 0
11238 0.0041625
11238 0.0030303
11239 0
11239 0
11239 0.0041625
11239 0.0030303
11240 0
11240 0
11240 0.00075139
11240 0.0030303
11241 0
11241 0
11241 0.00075139
11241 0.00087719
11242 0
11242 0
11242 0.00075139
11242 0.00087719
11243 0
11243 0
11243 0.00028584
11243 0
11244 0
11244 0
11244 0.00028584
11244 0
11245 0
11245 0
11245 0.00028584
11245 0
11246 0
11246 0
11246 0.00028584
11246 0
11247 0
11247 0
11247 0.00028584
11247 0
11248 0
11248 0
11248 0.00014043
