port_name;lon;lat;idx_port
DKSTD;10.4971;57.4933000009;335
DKSTB;9.7711;55.5381000009;336
DKSYL;12.2923;55.4032000009;337
DKSTR;8.5947;56.4912000009;338
DKSNO;10.6133;54.9038000009;339
DKSUO;10.4173;56.1578000009;340
DKSUP;10.343524;56.2464240009;341
DKSUN;9.3072;56.6040000009;342
DKSVS;11.1749;55.6088000009;343
DKSVA;15.1405;55.1364000009;344
DKSVP;11.1718;55.3656000009;345
DKSVI;11.7486;55.1054000009;346
DKTAM;8.5941;56.6331000009;347
DKTAN;9.5871;56.3528000009;348
DKTAR;12.592;55.7882000009;349
DKTRS;11.0374;54.8829000009;350
DKTEJ;14.836541;55.2483680009;351
DKTED;8.692;56.9556000009;352
DKTHP;9.1261;57.1394000009;353
DKTHO;10.6745;55.0481000009;354
DKTHN;8.2127;56.7038000009;355
DKTIO;11.168;56.3560000009;356
DKTJE;9.612;56.5127000009;357
DKTRH;9.896;55.2459000009;358
DKTRO;10.6468;55.0338000009;359
DKTVS;10.3938;54.5871000009;360
DKTYO;11.3581;55.2109000009;361
DKUDN;10.3009;56.6119000009;362
DKUDS;10.313;56.5975000009;363
DKURN;11.284204;54.9514490009;364
DKVAA;11.7783;54.9294000009;365
DKVAT;9.5637;56.9757000009;366
DKVAO;8.552856;57.0158790009;367
DKVAR;9.9552;55.5151000009;368
DKVBK;12.5641;55.8573000009;369
DKVEH;9.9465;55.5073000009;370
DKVEJ;9.5368;55.7114000009;371
DKVEM;10.6642;54.9774000009;372
DKVEN;8.6237;56.5496000009;373
DKVES;10.9232;57.2928000009;374
DKVEV;8.3208;56.7629000009;375
DKVIQ;8.6402;56.8848000009;376
DKVIV;8.6234;56.8818000009;377
DKVRK;9.2855;56.6098000009;378
DKVOE;10.4863;57.2082000009;379
EEAAK;27.155556;59.4383330008;380
EEAJV;23.1875;58.5491670008;381
EEARM;24.490278;58.0672220008;382
EEAUD;24.363889;58.4002780008;383
EEDIY;23.299444;59.0336110008;384
EEDIR;23.501;59.2100000008;385
EEDOB;24.371;58.3860000008;386
EEELB;23.516389;59.1519440008;387
EEHDM;24.478889;58.0741670008;388
EEHDI;22.446389;58.8066670008;389
EEHAN;23.551389;58.5936110008;390
EEHYA;25.620556;59.5886110008;391
EEHRA;23.513056;59.0958330008;392
EEHLT;23.048333;58.8666670008;393
EEHIR;22.133611;58.9408330008;394
EEIKL;24.357778;57.8838890008;395
EEJYA;21.973333;58.3983330008;396
EEJGA;24.044;58.2910000008;397
EEJGP;24.458333;58.0366670008;398
EEJAU;22.705556;58.7558330008;399
EEKVI;22.201667;57.9816670008;400
EEKBL;24.440556;58.0066670008;401
EEKHL;25.541944;59.4755560008;402
EEKIA;22.778056;58.8194440008;403
EEKAK;24.603056;59.4511110008;404
EEKLD;23.268361;58.4533330008;405
EEKNS;22.115556;58.4211110008;406
EEKLE;23.252778;58.6683330008;407
EEKLV;26.805556;59.4830560008;408
EEFKU;22.257222;58.3336110008;409
EEKRE;22.003333;57.9358330008;410
EEKSK;22.850278;58.7822220008;411
EEKEO;22.85;58.7808330008;412
EEKSP;22.06;58.0433330008;413
EEKVR;24.193333;58.2697220008;414
EEKMU;23.673333;58.7461110008;415
EEKBU;23.744167;59.2544440008;416
EEKJO;24.28;59.4041670008;417
EEKDP;22.264444;58.8836110008;418
EEKHN;24.020333;58.1416670008;419
EEKDV;23.548056;58.7713890008;420
EEKRA;25.778333;59.6133330008;421
EEKGV;23.073889;58.5961110008;422
EEKGS;22.971944;58.3688890008;423
EEKTT;22.485556;59.0119440008;424
EEKOR;22.036667;58.2244440008;425
EEKRG;22.464333;58.9930000008;426
EEKKV;23.233333;58.4966670008;427
EEKYB;23.297778;58.4294440008;428
EEKDK;28.100278;59.4477780008;429
EEKUI;23.383333;58.5666670008;430
EEKND;26.5415;59.5211670008;431
EEKNG;22.954722;58.3627780008;432
EEKUX;22.935;58.9490000008;433
EELAT;22.2525;58.1413890008;434
EELHG;22.091389;58.1816670008;435
EELSO;23.518889;58.6227780008;436
EELKR;22.238056;58.4988890008;437
EELLI;23.356667;58.6250000008;438
EELAS;22.2;58.1575000008;439
EELAU;22.09;58.9160000008;440
EELRI;22.948889;58.6158330008;441
EELSK;23.096667;58.4180560008;442
EELHT;22.698333;59.0683330008;443
EELML;24.411667;57.9663890008;444
EELMT;24.383611;58.4325000008;445
EELEP;24.866667;59.5513330008;446
EELPN;24.866;59.5510000008;447
EELIH;23.835556;58.6891670008;448
EELVA;24.526944;58.3855560008;449
EELIN;24.29;58.3294440008;450
EELDM;22.075833;58.0666670008;451
EELNM;25.157778;59.4658330008;452
EELIU;24.266667;58.2783330008;453
EELIY;24.255;58.2760000008;454
EELSL;24.21;59.4033330008;455
EELMS;22.613056;59.0822220008;456
EELNR;23.319444;58.5408330008;457
EELUH;23.136944;58.4344440008;458
EEMAD;24.099167;59.2797220008;459
EEMLK;22.571667;59.0313890008;460
EEMAN;24.125333;59.2220000008;461
EEMAT;23.691944;58.7322220008;462
EEMTS;23.743611;58.3600000008;463
EEMPI;23.791667;58.3433330008;464
EEMRS;24.671;59.4505000008;465
EEMRL;24.02;58.3033330008;466
EEMTP;24.375;57.9100000008;467
EEMOI;24.8;59.4119440008;468
EEMLD;22.145833;58.1619440008;469
EEMUJ;22.765;58.5902780008;470
EEMRJ;23.234722;58.4558330008;471
EEMUR;22.576667;58.2300000008;472
EEMUG;24.966667;59.5000000008;473
EENVL;28.167222;59.3461110008;474
EENMM;23.904444;59.2772220008;475
EENVA;23.665;59.2475000008;476
EEORI;23.093611;58.5625000008;477
EEORS;23.088333;58.5600000008;478
EEORJ;22.770833;58.7886110008;479
EEPTL;23.674444;58.5238890008;480
EEPYA;23.268333;58.4916670008;481
EEPKS;24.608056;58.3772220008;482
